1,Personal Social,Construye su identidad
2,Personal Social,Convive y participa democraticamente en la busqueda del bien comun
3,Personal Social,"Construye su identidad como persona humana amada por Dios, digna libre y trascendente, comprendiendo la doctrina de su propia religion, abierta al dialogo con las que le son cercanas"
4,Psicomotriz,Se desenvuelve de manera autonoma a traves de su motricidad
5,Comunicacion,Se comunica oralmente en su lengua materna
6,Comunicacion,Lee diversos tipos de textos en su lengua materna
8,Comunicacion,Crea proyectos desde los lenguajes del arte
9,Matematica ,Resuelve problemas de cantidad
10,Matematica ,"Resuelve problemas de forma, movimiento y localizacion"
11,Ciencia y Tecnologia,Indaga mediante metodos cientificos para construir sus conocimientos
14,Ingles,Sin indicador
15,Frances,Sin indicador
16,Mini-chef,Sin indicador
17,Etiqueta Social,Sin indicador
18,Danza,Sin indicador
19,Psicomotricidad,Sin indicador
